"user_id","question","Answered0","Answered1","Answered2","Answered3","Answered4","Answered5","Answered6","Answered7","Answered8","Answered9","Answered10"
7,1,"0","0","0","0","0","0","1","","","",""
7,2,"1","0","","","","","","","","",""
7,3,"0","0","0","0","","","","","","",""
7,4,"0","0","0","0","0","0","","","","",""
7,5,"1","0","","","","","","","","",""
7,6,"0","1","0","0","0","0","","","","",""
7,7,"0","0","1","0","0","0","0","","","",""
7,8,"0","","","","","","","","","",""
7,9,"1","1","0","1","","","","","","",""
7,10,"0","1","0","0","0","0","0","","","",""
7,11,"1","1","0","1","1","0","","","","",""
7,12,"1","0","0","0","0","0","0","0","1","0","0"
7,13,"1","1","0","1","0","","","","","",""
7,14,"","","0","0","0","0","0","0","0","0","0"
48,1,"0","0","0","0","0","0","1","","","",""
48,2,"1","0","","","","","","","","",""
48,3,"0","0","0","0","","","","","","",""
48,4,"1","0","0","0","0","0","","","","",""
48,5,"1","0","","","","","","","","",""
48,6,"0","1","0","0","0","0","","","","",""
48,7,"0","0","1","0","0","0","0","","","",""
48,8,"0","","","","","","","","","",""
48,9,"1","1","1","1","","","","","","",""
48,10,"0","0","0","0","0","0","0","","","",""
48,11,"0","0","1","1","1","1","","","","",""
48,12,"1","1","1","1","0","1","1","0","1","0","0"
48,13,"1","1","1","0","0","","","","","",""
48,14,"","","","","","","","","","",""
51,1,"0","0","0","0","1","0","0","","","",""
51,2,"0","1","","","","","","","","",""
51,3,"1","0","0","1","","","","","","",""
51,4,"0","1","0","0","0","0","","","","",""
51,5,"1","0","","","","","","","","",""
51,6,"0","0","1","0","0","0","","","","",""
51,7,"0","0","1","0","0","0","0","","","",""
51,8,"0","","","","","","","","","",""
51,9,"1","0","0","0","","","","","","",""
51,10,"0","0","0","0","0","0","0","","","",""
51,11,"0","1","1","1","1","1","","","","",""
51,12,"0","1","0","1","0","1","0","0","1","0","1"
51,13,"0","0","0","0","0","","","","","",""
51,14,"","","0","0","0","0","0","0","0","0","0"
56,1,"0","0","0","0","0","1","0","","","",""
56,2,"1","0","","","","","","","","",""
56,3,"0","0","0","0","","","","","","",""
56,4,"1","0","0","0","0","0","","","","",""
56,5,"1","0","","","","","","","","",""
56,6,"0","1","0","0","0","0","","","","",""
56,7,"0","0","0","1","0","0","0","","","",""
56,8,"0","","","","","","","","","",""
56,9,"1","0","0","0","","","","","","",""
56,10,"0","0","0","0","1","0","0","","","",""
56,11,"0","0","1","1","1","1","","","","",""
56,12,"0","1","1","1","0","1","0","1","1","0","1"
56,13,"1","1","0","1","1","","","","","",""
56,14,"","","0","0","0","0","0","0","0","0","0"
59,1,"0","0","0","0","0","0","1","","","",""
59,2,"1","0","","","","","","","","",""
59,3,"0","0","0","0","","","","","","",""
59,4,"1","0","0","0","0","0","","","","",""
59,5,"1","0","","","","","","","","",""
59,6,"0","1","0","0","0","0","","","","",""
59,7,"0","0","1","0","0","0","0","","","",""
59,8,"0","","","","","","","","","",""
59,9,"1","0","0","0","","","","","","",""
59,10,"0","1","0","0","0","0","0","","","",""
59,11,"0","1","0","0","1","1","","","","",""
59,12,"0","1","0","1","0","1","1","1","0","1","1"
59,13,"1","1","0","0","0","","","","","",""
59,14,"","","0","0","0","0","0","0","0","0","0"
68,1,"0","0","0","0","0","0","1","","","",""
68,2,"1","0","","","","","","","","",""
68,3,"0","0","0","0","","","","","","",""
68,4,"1","0","0","0","0","0","","","","",""
68,5,"1","0","","","","","","","","",""
68,6,"0","1","0","0","0","0","","","","",""
68,7,"0","0","0","1","0","0","0","","","",""
68,8,"0","","","","","","","","","",""
68,9,"1","0","0","1","","","","","","",""
68,10,"1","0","0","0","0","0","0","","","",""
68,11,"0","0","1","1","1","1","","","","",""
68,12,"1","0","1","1","1","0","0","0","0","0","0"
68,13,"0","0","0","1","0","","","","","",""
68,14,"","","0","0","0","0","0","0","0","0","0"
69,1,"0","0","0","0","0","0","1","","","",""
69,2,"1","0","","","","","","","","",""
69,3,"0","0","0","0","","","","","","",""
69,4,"1","0","0","0","0","0","","","","",""
69,5,"1","0","","","","","","","","",""
69,6,"0","0","0","1","0","0","","","","",""
